symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,address2,fax
MMM,55144-1000,Industrials,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],https://www.3m.com,1,3M Center,Conglomerates,0.28613,0.16764,0.48024,7964000256.0,0.071,0.23218,10108000256.0,136.0,hold,15685000000.0,5780874752.0,186.0,144.22,0.0,1.705,0.10945,19.0,184.63,130.812,0.44799998,210.0,5734000128.0,19007000576.0,35326001152.0,9.95,USD,60.915,1.105,3.2,NYQ,3M Company,3M Company,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_289194,375388b3-dab7-3763-90cd-457ad19388a2,us_market,,3.318,,11.595,,,10.37,,576252992.0,,,,25.093,9415227.0,0.0163,,1609372800.0,0.6844,5921999872.0,10.111,,,5.7474194,0.00119,1672444800.0,,1632960000.0,3.86,1636934400.0,575751463.0,0.950649,117201043456.0,2,,1064880000.0,2:1,,,0.003,2.352579,1639526400.0,2.37,,13.907426,,0.0164,8872717.0,,,147.14,147.3,173.1715,0.040165827,0.5846,,148.56,,2963000,147.14,147.667,5.91,147.3,2963000,,,5.92,1637193600.0,,,143.87,USD,14.263673,4151306,,,,83107209216.0,,,3457823,143.87,145.39,1000,4151306,208.95,,2.95,139.74,143.5,False,0.0328,800,148.56,144.22,,https://logo.clearbit.com/3m.com,,
AOS,53224-9508,Industrials,13900.0,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; residential and commercial boilers for space heating applications in hospitals, schools, hotels, and other commercial buildings; and water treatment products, including on-the-go filtration bottles, point-of-use carbon and reverse osmosis products, point-of-entry water softeners, and whole-home water filtration products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, combi-boilers, solar tank units, and air purification products. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. The company was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 359 4000,WI,United States,[],https://www.aosmith.com,1,11270 West Park Place,Specialty Industrial Machinery,0.19530001,0.1384,0.37727,608499968.0,0.203,0.17241,659699968.0,55.0,hold,1108200000.0,429462496.0,85.0,58.43,0.262,1.769,0.11609,9.0,82.33,7.883,0.25661,100.0,685200000.0,149500000.0,3377900032.0,4.305,USD,21.028,1.332,2.6,NYQ,A.O. Smith Corporation,A. O. Smith Corporation,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_997111,4cc854cc-0565-35cc-abef-bc91f30d07b0,us_market,,3.845,,19.686,,,3.47,,133187000.0,,,,11.916,3352281.0,0.0211,,1609372800.0,0.96722,467500000.0,2.89,,,4.903491,0.0091699995,1672444800.0,,1632960000.0,3.89,1636934400.0,130815332.0,1.125714,12986712064.0,2,,1475712000.0,2:1,,,0.249,2.7531412,1639526400.0,3.54,,16.838617,,0.0287,4047587.0,,,59.87,59.74,72.15015,0.01737097,0.35990003,,60.38,,1399000,59.87,66.1142,1.04,59.74,1399000,,,1.12,1635379200.0,,,58.21,USD,20.217993,3856601,,,,9299835904.0,,,1162339,58.21,60.45,800,3856601,86.74,,1.5,58.2,57.96,False,0.013200001,1000,60.38,58.43,,https://logo.clearbit.com/aosmith.com,Suite 170 PO Box 245008,
ABT,60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.29229,0.17122,0.5685,11264000000.0,0.234,0.20906,12366000128.0,110.0,buy,19611000000.0,8126875136.0,143.5,113.5,0.696,1.826,0.0774,20.0,143.13,53.112,0.21862,158.5,9692000256.0,18396999680.0,42308001792.0,5.481,USD,23.815,1.251,2.0,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_247483,5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf,us_market,,5.885,,20.136,,,4.76,,1768290048.0,,,,19.466,9684857.0,0.0055,,1609372800.0,0.75314003,7208000000.0,4.03,,,5.8306794,0.00728,1672444800.0,,1632960000.0,1.86,1636934400.0,1754441282.0,0.685714,249001328640.0,2,,1357084800.0,10000:4798,,,0.705,4.7438054,1639526400.0,2.03,,23.844536,,0.0056,10136654.0,,,118.01,117.06,124.70975,0.015252944,0.42430001,,117.77,,5542390,118.01,119.1558,1.8,117.06,5542390,,,1.88,1642032000.0,,,113.13,USD,28.16377,6711073,,,,200700919808.0,,,5464955,113.13,116.25,800,6711073,142.6,,1.63,105.36,113.27,False,0.0138,800,117.77,113.5,,https://logo.clearbit.com/abbott.com,Abbott Park,
ABBV,60064-6400,Healthcare,,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.50286996,0.20538001,0.69338,,0.074,0.34765,28259663872.0,105.0,buy,38966000000.0,,130.0,146.88,248.779,,,25.0,132.97,594.66,0.86594003,172.0,12248999936.0,80737001472.0,56197001216.0,6.929,USD,31.625,,2.0,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_141885706,73238d42-cdcc-3f92-8141-dd675addae10,us_market,,5.808,,11.55,,,13.97,,1767879936.0,,,,7.665,16153434.0,0.0091,,1640908800.0,0.69636,11541999616.0,4.196,,,19.162428,0.00107,1703980800.0,,1640908800.0,1.97,1640908800.0,1762665218.0,0.79811,326395723776.0,2,,,,,,111.333,4.6206417,1643587200.0,2.38,,10.513959,,0.0091,16611434.0,,,156.31,149.56,129.68504,0.033267226,0.8062,,149.86,,9032390,156.31,156.4096,5.2,149.56,9032390,,,5.64,1642032000.0,,,139.93,USD,35.00477,24888699,,,,259666214912.0,,,8034814,139.93,147.5,1100,24888699,175.91,,4.28,105.56,145.3,False,0.0387,900,149.86,146.88,,https://logo.clearbit.com/abbvie.com,,
ABMD,01923,Healthcare,1725.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.29598,0.15319,0.81897,281540992.0,0.183,0.26919,288176000.0,269.0,buy,685615000.0,170232128.0,410.0,286.58,-0.088,7.643,0.114630006,5.0,379.8,0.567,0.116210006,425.0,650558976.0,7854000.0,973635008.0,14.299,USD,21.494,6.491,2.5,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,,,finmb_247589,a393224e-40ae-3cd2-a2c8-12a0912a9351,us_market,,16.237,,54.858,,,5.01,,45497500.0,,,,30.432,1171896.0,0.025799999,,1617148800.0,0.92371005,149152000.0,3.257,,,9.417061,0.020610001,1680220800.0,,1632960000.0,4.77,1636934400.0,44590270.0,1.270649,15808732160.0,2,,970444800.0,2:1,,,-0.085,13.3917465,1639526400.0,8.21,,57.20159,,0.0295,997773.0,,,287.22,284.97,326.6438,,0.0,,292.09,,321270,287.22,307.3494,,284.97,321270,,,,,,,280.47,USD,87.988945,439387,,,,13038672896.0,,,310673,280.47,286.56,1000,439387,379.3,,,261.27,260.0,False,,1000,292.09,286.58,,https://logo.clearbit.com/abiomed.com,,978 777 8411
ACN,2,Technology,624000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.16804,0.11533,0.32348,7903174144.0,0.272,0.15195,9030121472.0,,none,16364128000.0,6319962112.0,,300.36,0.197,1.223,0.124560006,,,16.607,0.31948,,5644085248.0,3477277952.0,53736357888.0,8.931,USD,84.725,1.101,,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_972190,64bf532c-0542-3794-9f22-7d6062a2458b,us_market,,4.198,,24.983,,,10.45,,632001024.0,,,,32.2,3195722.0,0.0050999997,,1630368000.0,0.7388,6197557248.0,9.613,,,9.32795,0.00123,1693440000.0,,1638230400.0,1.18,1639526400.0,631229695.0,1.213823,225603960832.0,2,,1325203200.0,10:1,,,0.194,3.5354164,1642118400.0,3.82,,28.742582,,0.0050999997,3561790.0,,,313.84,310.0,342.1791,0.011789447,0.3753,,311.98,,2148710,313.84,321.4796,3.7,310.0,2148710,,,3.88,1641945600.0,,,299.8,USD,31.245188,2941231,,,,189980393472.0,,,2529866,299.8,310.99,1300,2941231,417.37,,1.5,276.88,299.03,False,0.0108,1000,311.98,300.36,,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020
ATVI,90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],https://www.activisionblizzard.com,1,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,0.37638,0.29209,0.72647005,2892999936.0,0.059,0.36168998,3407000064.0,54.0,buy,5826000000.0,2751749888.0,95.0,75.6,0.051,5.561,0.08984,33.0,92.47,21.28,0.16877002,125.0,10000000000.0,3607000064.0,9052000256.0,12.839,USD,11.672,5.25,2.0,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_4222231,c564fea5-667a-32d7-929a-597b64dca83b,us_market,,5.076,,13.486,,,3.8,,778889024.0,,,,21.765,8855330.0,0.0114,,1609372800.0,0.88063,2644000000.0,3.371,,,3.4734666,0.00727,1672444800.0,,1632960000.0,0.64,1636934400.0,773117020.0,0.673246,45948313600.0,2,,1220832000.0,2:1,,,0.058,6.5050826,1639526400.0,1.33,,19.894737,,0.0115,9575800.0,,,76.7,76.41,76.00045,0.006127771,0.13949999,,76.75,,6437190,76.7,79.7504,0.47,76.41,6437190,,,0.47,1618358400.0,,,75.335,USD,22.426579,8847652,,,,58884009984.0,,,7773028,75.335,75.83,1400,8847652,99.46,,0.57,56.4,75.6,False,0.0069999998,1200,76.75,75.6,,https://logo.clearbit.com/activisionblizzard.com,,
ADM,60601,Consumer Defensive,37575.0,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal, as well as distillers' grains; and citric acids. Additionally, the company provides natural flavor ingredients, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant and insurance services. The company was founded in 1902 and is headquartered in Chicago, Illinois.",Chicago,312 634 8100,IL,United States,[],https://www.adm.com,1,77 West Wacker Drive,Farm Products,0.046719998,0.03262,0.070989996,4983000064.0,0.345,0.03439,3744000000.0,63.0,buy,4453000000.0,-619124992.0,70.5,89.56,1.325,1.577,0.03548,14.0,70.64,44.843,0.12636,80.0,1140999936.0,9962000384.0,80137003008.0,2.04,USD,142.276,0.382,1.9,NYQ,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_251704,6fb4f229-92a0-3164-b772-67fde5477248,us_market,,0.608,,13.016,,,4.78,,559441024.0,,,,39.301,4334480.0,0.0077,,1609372800.0,0.81119,2614000128.0,4.63,,,2.2788224,0.00454,1672444800.0,,1632960000.0,1.93,1638230400.0,557169928.0,0.89559,48731385856.0,2,,999129600.0,105:100,,,1.338,0.6252235,1640908800.0,1.41,,18.7364,,0.0078,5374173.0,,,92.51,91.98,70.37795,0.015890174,0.3175,,92.73,,4858200,92.51,87.4628,1.47,91.98,4858200,,,1.48,1637020800.0,,,89.3917,USD,19.343412,6315682,,,,50103537664.0,,,4044993,89.3917,90.13,1000,6315682,98.88,,2.97,56.91,89.56,False,0.0209,900,92.73,89.56,,https://logo.clearbit.com/adm.com,Suite 4600,
ADBE,95110-2704,Technology,,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.41681,0.30548,0.88185,,0.2,0.36756,6579333120.0,560.0,buy,13920000000.0,,680.0,395.95,-0.445,1.248,0.14076,28.0,671.75,31.581,0.34368,750.0,5798000128.0,4672999936.0,15784999936.0,12.181,USD,33.092,1.107,1.8,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_24321,bccf427f-30a1-3360-9ce4-c77a8198c902,us_market,,15.908,,38.165,,,16.25,,475800000.0,,,,31.086,6361987.0,0.0134000005,,1638489600.0,0.85205,4822000128.0,10.02,,,12.737246,0.00312,1701561600.0,,1638489600.0,1.65,1638230400.0,474619600.0,1.003041,251102642176.0,2,,1116892800.0,2:1,,,-0.452,11.934939,1640908800.0,2.62,,24.366154,,0.0134000005,4151575.0,,,410.53,407.47,563.3949,,0.0,,413.0,,2713510,410.53,439.5346,,407.47,2713510,,,,1111622400.0,,,394.64,USD,39.51597,3033248,,,,188393013248.0,,,3618233,394.64,397.63,1100,3033248,699.54,,,394.64,396.14,False,,900,413.0,395.95,,https://logo.clearbit.com/adobe.com,,408 537 6000
ADP,07068,Industrials,56000.0,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Roseland,973 974 5000,NJ,United States,[],https://www.adp.com,1,One ADP Boulevard,Staffing & Employment Services,0.26082,0.1748,0.4493,3120600064.0,0.089,0.22843,4094000128.0,171.0,hold,6768100000.0,3923987456.0,238.0,218.18,0.093,1.041,0.04133,17.0,230.61,68.328,0.50117,260.0,1764700032.0,3450299904.0,15696600064.0,4.201,USD,37.143,0.092,3.0,NMS,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,,,finmb_126269,a771a5a3-7055-3bcd-81f6-9ccb77ac9a9b,us_market,,5.671,,21.742,,,7.47,,421384000.0,,,,12.679,4554240.0,0.0108,,1625011200.0,0.80954003,2743800064.0,6.32,,,17.207981,0.00102,1688083200.0,,1640908800.0,3.18,1639526400.0,419335389.0,0.834908,89013010432.0,2,,1412121600.0,1139:1000,,,0.072,5.8571634,1642118400.0,2.58,,29.207497,,0.0108,4790207.0,,,229.68,228.68,217.65485,0.016196448,0.59290004,,228.93,,2017520,229.68,218.3918,3.72,228.68,2017520,,,4.16,1646870400.0,,,217.53,USD,34.52215,2621358,,,,91937554432.0,,,2010376,217.53,219.93,800,2621358,248.96,,2.0,187.29,218.33,False,0.02,900,228.93,218.18,,https://logo.clearbit.com/adp.com,,
